x,y,landslide_id,label,Elevation,Slope,Aspect,Curvature,TRI,TWI,Rainfall,Dist_Streams,Dist_Roads,Dist_Faults,NDVI,BSI,Soil,Lithology,LULC,Geomorphon
261976.48001351068,3346271.3328642165,38799,1,1007.1508,35.57171,34.07718,-0.0075927833,12.800652,9.851562,946.7363,1720.3778,46621.934,66548.09,0.34213665,0.0029868458,3661,2,11,7
261990.2833659428,3346376.513915596,38800,1,984.44934,38.91804,0.0,-0.001632708,14.656685,9.2044525,946.69525,1614.7446,46584.137,66489.69,0.249568,0.078899026,3661,2,11,7
262119.32773314312,3346270.447037384,38789,1,995.922,33.551422,113.80594,-0.0076565254,12.393334,7.392609,949.09845,1652.1803,46483.867,66652.46,0.35452682,0.0062701562,3661,2,2,7
262131.367565038,3344858.2667956757,39408,1,1363.1746,29.94918,335.09525,-0.011458309,10.252063,8.033777,953.9983,2836.0007,46718.805,67614.41,0.2570988,0.067998834,3661,2,11,7
262332.9373183046,3347822.098086458,38839,1,700.1061,29.409012,118.30075,0.00538274,10.3612385,9.691741,948.0459,192.35384,46034.008,65797.18,0.40807092,-0.06789559,3661,2,11,5
262343.49264771456,3347260.399889489,38837,1,733.3371,43.668205,349.1597,-0.004808415,17.774517,8.979019,949.9629,675.3518,46102.39,66170.71,0.28484413,0.050387766,3661,2,11,9
272178.8978795355,3345977.603544353,39865,1,1391.7098,28.210663,264.47247,0.0047249296,9.643758,9.7878685,1118.8627,2876.404,36663.445,74632.1,0.20159288,0.13117994,3661,2,11,5
274868.4996710672,3347101.9489722587,39450,1,703.4078,50.862972,241.69925,-0.002338631,22.524454,7.4558077,1178.0475,2494.4739,33797.67,76157.56,0.3926582,-0.05865042,3661,2,11,10
275107.94950672926,3347567.0875351704,39449,1,1027.9229,31.198381,226.16914,0.0070267357,10.83393,9.963688,1188.1409,2446.2625,33469.547,76087.4,0.3145449,0.003284054,3661,2,11,5
273883.81916347845,3348105.977284262,38716,1,810.21277,30.469803,200.55606,0.011716766,11.31596,10.356724,1170.5284,3774.4934,34573.68,74782.17,0.4079618,-0.078833245,3661,2,11,5
274216.41824422806,3348125.015016091,39895,1,784.61395,32.992435,275.90616,0.0017966356,12.016818,9.903879,1177.2255,3488.266,34245.105,75042.414,0.34848988,-0.021396069,3661,2,11,7
279168.40981895267,3348544.810878841,39507,1,722.31335,27.461952,171.86987,0.00057820085,9.5656595,8.752412,1282.2134,1346.4769,29299.45,78945.09,0.28818032,0.045705944,3661,2,11,6
277407.2200277218,3348590.0007189787,38691,1,804.5802,33.930832,207.25534,-0.0013185551,11.61527,8.956066,1247.1129,1607.2336,31021.84,77435.04,0.19468878,0.13297825,3661,2,11,5
262355.8314570939,3347185.838390412,38826,1,739.7421,21.41628,30.068573,-0.025260122,8.104719,9.851562,950.3883,740.9454,46104.227,66230.75,0.32763562,0.007610841,3661,2,11,9
262407.9817629039,3347844.5184969604,38838,1,705.7772,29.793474,99.46231,0.012227224,10.38621,10.361185,949.2959,138.92444,45961.96,65837.32,0.3135163,0.036788616,3661,2,11,3
262648.9138269174,3347987.361215624,38722,1,609.53595,41.422813,78.69006,0.0037678531,16.162336,9.900993,953.3842,102.95631,45704.223,65922.62,0.46152294,-0.11749846,3661,2,11,6
